"VideoAnalysis: Time (s)","VideoAnalysis: X (m)","VideoAnalysis: Y (m)","VideoAnalysis: X Velocity (m/s)","VideoAnalysis: Y Velocity (m/s)"
0.53433057175,0.725823923089,-0.147962949603,-0.156523476138,-0.442589104748
0.733558351232,0.714697834892,-0.188705876049,-0.357865292838,-0.800450722297
0.767735501688,0.685590722643,-0.278329768175,-1.21910274134,-2.19565293632
0.801079063107,0.611961680847,-0.394687910139,-2.67783837429,-3.26661001018
0.834422624527,0.492843987782,-0.53124174774,-4.17025936568,-3.33607822269
0.867766185947,0.326620581657,-0.637299909161,-5.17440149989,-2.47984701922
0.901109747366,0.134260535486,-0.711719905094,-5.6735015356,-1.11768536678
0.934453308786,-0.072354261914,-0.711719905094,-5.47525258781,0.273732611637
0.967796870206,-0.245397450378,-0.679659897399,-4.74221908659,1.24384778153
1.00114043163,-0.392831301556,-0.621287482072,-3.79566419151,1.89217265131
1.03448399304,-0.504197644076,-0.539239172905,-2.67963346179,2.02933181332
1.06782755446,-0.566120564641,-0.47555857648,-1.72113003668,1.77401985123
1.10117111588,-0.611433448324,-0.41268651095,-0.978256569945,1.2017936433
1.1345146773,-0.631189724996,-0.38825481649,-0.284495073904,0.386160074572
1.16785823872,-0.631189724996,-0.38825481649,0.398518602675,-0.401959662036
1.20120180014,-0.600500704472,-0.417379505498,0.976470147636,-1.09876686167
1.23454536156,-0.564749577469,-0.470127358071,1.5244039407,-1.51806360577
1.26788892298,-0.504004299731,-0.523613434505,2.21791650903,-1.73526034422
1.3012324844,-0.418827327532,-0.58868259486,2.9481239487,-1.78656873575
1.33457604582,-0.306898528737,-0.653101415147,3.64412579402,-1.4895687057
1.36791960724,-0.16298002928,-0.697043311659,3.95125864569,-0.885377252743
1.40126316866,-0.0409270175286,-0.715780136332,4.09611992347,-0.142064501876
1.43460673008,0.117685652121,-0.706411723995,3.94929650971,0.584848306492
1.4679502915,0.235678432635,-0.669096265477,3.39508095296,1.06497126588
1.50129385292,0.344302800813,-0.626912044826,2.77213206578,1.25144739776
1.53463741434,0.422413916053,-0.581616737901,2.05737278623,1.24150493262
1.56798097576,0.48279008186,-0.536672966149,1.31750109473,0.972458018837
1.60132453718,0.510719551284,-0.510114483897,0.568916933781,0.489860425263
1.6346680986,0.515781657762,-0.505245721763,-0.041395212003,0.00158142303288
1.66801166002,0.507977576941,-0.510307828241,-0.64626023402,-0.479742246448
1.70135522144,0.47359743711,-0.535671090908,-1.28172872016,-0.963891977446
1.73469878286,0.424980122809,-0.580983974591,-1.98759981659,-1.24187100277
1.76804234428,0.343916112124,-0.62610351393,-2.74199717144,-1.25163775424
1.8013859057,0.234746864429,-0.668481078926,-3.26273927414,-1.06945196446
1.83472946712,0.116754083915,-0.707536636546,-3.46078322259,-0.586063659369
1.86807302854,-0.000799277633827,-0.709663424337,-3.44429542325,-0.0288316846234
1.90141658996,-0.121094613525,-0.700470779587,-3.16286069579,0.303618578277
1.93476015138,-0.214286587648,-0.69073325532,-2.7610767475,0.634912059541
1.9681037128,-0.302767990465,-0.657548335074,-2.35825316008,0.890472949265
2.00144727421,-0.381898557703,-0.624363414828,-1.66526773268,0.912554300418
2.03479083563,-0.419196439463,-0.587610412585,-0.832194582109,0.644415240506
2.06813439705,-0.428758196144,-0.576677668733,-0.220169228025,0.22100386795
2.10147795847,-0.428758196144,-0.576677668733,0.225059925155,-0.114697097843
2.13482151989,-0.413519146434,-0.588981399757,0.640168826805,-0.33274311902
2.16816508131,-0.386134556527,-0.596803057336,1.06313277352,-0.573114740627
2.20150864273,-0.348080874148,-0.623730651518,1.62951218311,-0.860164168423
2.23485220415,-0.276402852557,-0.664737229343,2.15730972937,-0.834181461578
2.26902935461,-0.197658974008,-0.688167048564,2.53702794436,-0.566914634624
2.30237291603,-0.102533556439,-0.702597567378,2.79339524327,-0.263704259592
2.33571647745,-0.00485950887154,-0.702597567378,2.81926531337,-0.0207777768771
2.36906003887,0.0924454267647,-0.70609534234,2.615659043,0.25632231554
2.40240360029,0.172314217865,-0.687358517668,2.2872648373,0.557144117911
2.43574716171,0.245187459041,-0.660606691071,1.92189754696,0.619214971706
2.46909072313,0.304368405263,-0.6436099655,1.43774781597,0.573851559335
2.50243428455,0.340664411782,-0.62018014628,0.946423110152,0.430571704582
2.53577784597,0.368980569894,-0.610794157185,0.409647135124,0.170603330401
2.56912140738,0.368980569894,-0.610794157185,-0.157439447985,-0.0506055368542
2.6024649688,0.355481619286,-0.615293807388,-0.645337737272,-0.256512672025
2.63580853022,0.328729792689,-0.625242252758,-1.19633187673,-0.511224278922
2.66915209164,0.272677509499,-0.648672071978,-1.65573526592,-0.755890921049
2.70249565306,0.217187682583,-0.684423198981,-2.05989134883,-0.735215279257
2.73583921448,0.133557465141,-0.703160023653,-2.37042133144,-0.525471728967
2.7691827759,0.0511400440434,-0.721914425085,-2.44293250576,-0.214107106422
2.80252633732,-0.0322968290537,-0.717414774882,-2.39056983222,0.107463551772
2.83586989874,-0.10729685802,-0.712352668404,-2.29629944848,0.342568441713
2.86921346016,-0.19359874277,-0.693598266972,-1.96105240967,0.517008187217
2.90255702158,-0.244975608172,-0.670168447752,-1.42982605803,0.464674799281
2.935900583,-0.282783215931,-0.661538259277,-1.03441173019,0.357840888158
2.96924414442,-0.31227701687,-0.648601764944,-0.664270885154,0.276192603014
3.00258770584,-0.331013841543,-0.639426696952,-0.2016900071,0.0990732240485
3.03593126726,-0.331013841543,-0.639426696952,0.381196163417,-0.140658792527
3.06927482868,-0.298778066261,-0.653294759492,0.78776830928,-0.272312259477
3.1026183901,-0.270461908149,-0.658550210314,0.983337623551,-0.360037309025
3.13596195152,-0.240774762865,-0.675722703471,1.3482217013,-0.456269828756
3.16930551294,-0.182349617263,-0.694477104903,1.74912708131,-0.389571848332
3.20264907436,-0.118669020838,-0.704601317859,1.99960691734,-0.234167750365
3.23599263578,-0.0459891240068,-0.709856768682,2.12453933644,-0.0651458430077
3.2693361972,0.0284484486846,-0.707097217581,2.06030134739,0.0655265559595
3.30267975862,0.0948885962108,-0.707097217581,1.88259625619,0.232586327342
3.33602332004,0.153682853744,-0.693598266972,1.67257449259,0.428873139094
3.36936688146,0.205815519766,-0.673666222715,1.43519996776,0.473445839948
3.40271044288,0.258616102615,-0.655474277559,0.960304490021,0.321570658189
3.4360540043,0.272870853843,-0.65079885977,0.393144692944,0.105223202486
3.46939756572,0.272870853843,-0.65079885977,0.11908993958,-0.0601380034247
3.50274112714,0.286545572038,-0.655298509973,-0.286266853435,-0.201719292728
3.53608468855,0.255118327652,-0.664473577964,-0.714114996177,-0.325656001041
3.56942824997,0.236188158635,-0.678359217262,-1.0856029793,-0.394623616348
3.60277181139,0.184811293233,-0.691858167871,-1.48315515677,-0.407362857384
3.63611537281,0.1330653159,-0.710981681233,-1.72894929492,-0.260349087138
3.66945893423,0.0629516258258,-0.710981681233,-1.78635857198,-0.0611975714323
3.70280249565,0.010818959804,-0.711157448819,-1.7349665918,0.0507748335123
3.73614605707,-0.0474128414538,-0.70648203103,-1.7796675323,0.125289557312
3.77032320753,-0.112657769395,-0.70648203103,-1.71042613837,0.270987187919
3.80366676895,-0.173403047133,-0.684792310911,-1.35304963183,0.319503188054
3.83701033037,-0.202351968555,-0.680099316364,-0.967483839476,0.222345234023
3.87035389179,-0.235976307766,-0.670924248372,-0.616330338962,0.140732006553
3.90369745321,-0.244975608172,-0.670924248372,-0.235353817639,0.0586151516203
3.93704101463,-0.249475258375,-0.670924248372,0.0730236725298,0.0732286718081
3.97038457605,-0.240651725555,-0.661731603622,0.398899315631,-0.0283924004463
4.00372813747,-0.219524461712,-0.669535684442,0.644137027201,-0.211676400657
4.03707169889,-0.202967155106,-0.679097441123,1.01231573634,-0.308040705666
4.0704152603,-0.152732779014,-0.692983080421,1.37539874902,-0.311789263953
4.10375882172,-0.101162569267,-0.702544837102,1.47300769238,-0.224064214374
4.13710238314,-0.0539162421376,-0.707220254891,1.52188537811,-0.137085947914
4.17044594456,-0.00273272108036,-0.711913249439,1.61045971038,-0.0367973709815
4.20378950598,0.0585750129332,-0.711913249439,1.55317705409,0.113847815105
4.2371330674,0.104063664203,-0.702544837102,1.38989740432,0.208366484255
4.27047662882,0.152311866573,-0.694916523868,1.17201571592,0.211559935152
4.30382019024,0.183369999027,-0.687112443047,0.909368879831,0.159739780197
4.33716375166,0.212532575642,-0.684476700244,0.641392522371,0.101437030909
4.37050731308,0.228487985704,-0.679164622616,0.303869852996,0.0133034864761
4.4038508745,0.23489316234,-0.684265751313,-0.0947590369082,-0.0639451822182
4.43719443592,0.220165091513,-0.684265751313,-0.454391595919,-0.118414686339
4.47053799734,0.205437020687,-0.689386057186,-0.827241292334,-0.239433473315
4.50388155876,0.16581697599,-0.703231977937,-1.19376446207,-0.270554872266
4.53722512018,0.12021365252,-0.708333106635,-1.38547739192,-0.256224330758
4.5705686816,0.068665404628,-0.723674847079,-1.43144056685,-0.148865090035
4.60391224302,0.0234456246691,-0.720280487006,-1.41953838913,0.0172541636901
4.63725580444,-0.0225795966632,-0.715160181132,-1.46601279854,0.009601622569
4.67059936586,-0.0767167632552,-0.724767946086,-1.42450694922,0.122744203336
4.70394292728,-0.126155521836,-0.709848103504,-1.14759359812,0.286674734449
4.7372864887,-0.153617237231,-0.697900723133,-0.842338685562,0.252821426256
4.77063005012,-0.177895541484,-0.691284597566,-0.638883338749,0.15993651174
4.80397361154,-0.196037149559,-0.689597006117,-0.431673613724,0.108174020671
4.83731717296,-0.210074842065,-0.684265751313,-0.13379964896,0.0672433101437
4.87066073438,-0.210074842065,-0.684265751313,0.299982806993,-0.000607090949467
4.9040042958,-0.185336285599,-0.684073979558,0.609774925561,-0.0829477943181
4.93734785722,-0.165564617602,-0.686797138486,0.7984524007,-0.234848339077
4.97069141864,-0.131870320152,-0.702138878931,0.958564649315,-0.307890965359
5.00403498006,-0.0992882988836,-0.712763034188,1.05261581757,-0.226013568243
5.03737854147,-0.0651912807466,-0.718094288992,1.22704263161,-0.105394183195
5.07072210289,-0.0163661917833,-0.718094288992,1.35418025617,-0.0207689007354
5.10406566431,0.0304836480978,-0.717883340061,1.33481725022,0.0168867139045
5.13740922573,0.0739774822567,-0.718094288992,1.24714053696,0.0791135357187
5.17075278715,0.112772908405,-0.712973983119,1.14867108843,0.150092331201
5.20409634857,0.155998262106,-0.707853677246,0.894465205619,0.20650836076
5.23743990999,0.174139870181,-0.698034963362,0.576509450423,0.217718890795
5.27161706045,0.194180018636,-0.689520297415,0.261611086326,0.119564803065
5.30496062187,0.194180018636,-0.689520297415,-0.107900489684,-0.000341220455526
5.33830418329,0.184361304752,-0.689520297415,-0.399336441909,-0.119210043097
5.37164774471,0.164321156297,-0.699741731986,-0.608624647983,-0.168978971595
5.40499130613,0.144070058911,-0.703155269235,-0.806536295907,-0.143481151922
5.43833486755,0.113597526954,-0.708275575108,-1.05611457843,-0.13752207502
5.47167842897,0.067975026308,-0.713376703806,-1.15828159398,-0.0986363024154
5.50502199039,0.0317109873333,-0.713376703806,-1.13099445366,-0.0901370291907
5.53836555181,-0.000679262179264,-0.721699597997,-1.23108457921,-0.0137234505637
5.57170911322,-0.0548164287713,-0.716598469299,-1.20144895547,0.119229466308
5.60505267464,-0.0904092666016,-0.711478163426,-0.928561575796,0.18960408763
5.63839623606,-0.110257643301,-0.701448500611,-0.785495801861,0.183261584865
5.67173979748,-0.140730175258,-0.698034963362,-0.679542455953,0.127824595982
5.7050833589,-0.163781140275,-0.69312560642,-0.384080878888,0.0728988415774
5.73842692032,-0.163781140275,-0.69312560642,-0.144343860103,0.0192032451405
5.77177048174,-0.168690497217,-0.69312560642,0.00137394266503,-0.00869098615355
5.80511404316,-0.168690497217,-0.69312560642,0.266512924656,-0.0511234479616
5.83845760458,-0.155458246084,-0.69312560642,0.647031138264,-0.170592555417
5.871801166,-0.119865408254,-0.708467346864,0.877533984261,-0.182494733145
5.90514472742,-0.0947049539259,-0.708467346864,1.00540650848,-0.107439121105
5.93848828884,-0.0484879608381,-0.713798601668,1.01109399207,-0.0733461717475
5.97183185026,-0.0227138368921,-0.712091833044,0.894772171875,-0.0717325879204
6.00517541168,-0.00246273950589,-0.717212138917,1.11875677826,-0.0982688526214
6.0385189731,0.0580987808971,-0.722313267614,1.17106245595,-0.0261528388424
6.07186253452,0.081552466601,-0.722313267614,1.04830227654,0.124293882853
6.10520609594,0.130780276251,-0.708889244726,0.807127410774,0.141835615933
6.13854965736,0.140598990135,-0.708889244726,0.416815861661,0.0470175960444
6.17189321878,0.152316244399,-0.708678295795,0.200627581093,0.0134678333208
6.2052367802,0.152316244399,-0.708678295795,0.0232611688225,-0.00356266528002
6.23858034162,0.152316244399,-0.708678295795,-0.110075173891,-0.0168867139043
6.27192390304,0.152316244399,-0.708678295795,-0.422902747181,-0.0566351946929
6.30526746446,0.123550481067,-0.713798601668,-0.717725281149,-0.064271759732
6.33861102588,0.0947655405585,-0.713798601668,-0.767458810374,-0.0487909406467
6.3719545873,0.0762212117967,-0.715217712659,-0.884084176037,-0.0685533484998
6.40529814872,0.0370230649621,-0.720127069601,-1.01436908795,-0.0408987583703
6.43864171014,0.00292604682509,-0.720127069601,-0.998424962619,0.0405472846583
6.47198527156,-0.0273547133764,-0.715025940904,-1.01849091595,0.0710456165839
6.50532883298,-0.0680486799043,-0.715025940904,-0.946598567279,0.088028186964
6.5386723944,-0.0915023656082,-0.711612403655,-0.85390856097,0.155038246397
6.57201595581,-0.121994074741,-0.701390969084,-0.830572304589,0.139111694747
6.60535951723,-0.147154529069,-0.701390969084,-0.787269146508,0.0738094780061
